Oklahoma,South Carolina St.,1
California,North Carolina St.,1
Mississippi St.,Butler,0
Louisville,Austin Peay,1
Syracuse,Manhattan,1
Oklahoma St.,Pennsylvania,1
Saint Joseph's,Auburn,0
Wake Forest,East Tennessee St.,1
Oklahoma,California,1
Butler,Louisville,1
Syracuse,Oklahoma St.,1
Auburn,Wake Forest,1
Butler,Oklahoma,0
Auburn,Syracuse,0
Oklahoma,Syracuse,0
Connecticut,Brigham Young,1
San Diego,Stanford,0
Troy St.,Xavier,0
Maryland,NC Wilmington,1
Michigan St.,Colorado,1
Sam Houston St.,Florida,0
Texas,Purdue,1
Stanford,Connecticut,0
Maryland,Xavier,1
Florida,Michigan St.,0
Texas,Connecticut,1
Maryland,Michigan St.,0
Texas,Michigan St.,1
Arizona,Vermont,1
Cincinnati,Gonzaga,0
Notre Dame,Wisconsin Milwaukee,1
Illinois,Western Kentucky,1
Colorado St.,Duke,0
Creighton,Central Michigan,0
Memphis,Arizona St.,0
Kansas,Utah St.,1
Arizona,Gonzaga,1
Illinois,Notre Dame,0
Duke,Central Michigan,1
Arizona St.,Kansas,0
Arizona,Notre Dame,1
Duke,Kansas,0
Arizona,Kansas,0
Kentucky,IUPUI,1
Oregon,Utah,0
Wisconsin,Weber St.,1
Dayton,Tulsa,0
Marquette,Holy Cross,1
Missouri,Southern Illinois,1
Alabama,Indiana,0
Pittsburgh,Wagner,1
Utah,Kentucky,0
Wisconsin,Tulsa,1
Missouri,Marquette,0
Pittsburgh,Indiana,1
Kentucky,Wisconsin,1
Pittsburgh,Marquette,0
Marquette,Kentucky,1
Syracuse,Texas,1
Marquette,Kansas,0
Syracuse,Kansas,1
Texas,NC Asheville,1
Louisiana St.,Purdue,0
